[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOP2,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(R),1.65,72.73,1.156,70.06,0.497,29.94,0.268,15.98,96.15,53.64,24.05,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.05,,0.024,2.47,0.05,2.47,0.022,1.2,2.32,1.96,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
CV,3.03,,2.064,3.52,10.093,8.24,8.148,7.49,2.41,3.65,2.74,,,,,,,,,,,,,,,,,,,,,,,,,
defeg(L),1.65,72.73,0.937,56.74,0.708,43.26,0.18,10.82,96.41,42.62,23.9,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.049,,0.056,2.5,0.042,2.5,0.017,1.07,3.63,1.91,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
CV,2.996,,5.997,4.41,5.888,5.78,9.507,9.92,3.77,4.48,2.06,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
0,0.610815,-1.791328,94.205345,-0.97213,1.270996,93.440773,-20.773664,-2.192959,134.874695,19.157339,0.377651,136.572479,-16.460722,-0.07325,83.761292,17.742426,4.129063,80.845787,-16.632685,10.689831,48.036419,16.191084,19.462143,46.491146,-12.542385,12.197594,8.853752,12.047031,21.696396,8.130608,-14.918448,22.191528,2.923804,14.910446,33.490623,3.224389
0.5,0.449406,-1.789246,94.195343,-0.795287,1.386913,93.499603,-21.023939,-2.120689,134.797119,19.43342,0.648106,136.561111,-16.558786,-0.04147,83.744415,17.894804,4.255222,80.906906,-16.811029,10.692429,48.025497,16.24473,19.529907,46.5298,-12.589823,11.795891,8.849713,12.108358,21.320839,8.110103,-14.929344,21.756332,2.873966,14.924696,33.081299,3.177314
1,0.287729,-1.787052,94.185707,-0.618609,1.502792,93.559074,-21.274492,-2.048523,134.71994,19.708878,0.918621,136.550568,-16.65757,-0.009949,83.727936,18.047232,4.381077,80.968613,-16.989838,10.694668,48.014965,16.299171,19.596733,46.568741,-12.637601,11.394081,8.845949,12.169832,20.94487,8.089777,-14.940384,21.321167,2.82438,14.939568,32.672028,3.130954
