[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoki,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.89,0.668,65.06,0.359,34.94,0.152,14.79,113.94,56.42,21.15,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.017,,0.009,0.75,0.012,0.75,0.004,0.42,1.63,1.35,0.84,,,,,,,,,,,,,,,,,,,,,,,,,
CV,1.652,,1.345,1.15,3.336,2.14,2.707,2.86,1.43,2.39,3.95,,,,,,,,,,,,,,,,,,,,,,,,,
a,1.027,116.85,0.656,63.84,0.371,36.16,0.145,14.11,113.97,57.55,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.01,,0.013,0.76,0.006,0.76,0.005,0.45,1.43,1.08,0.94,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0.98,,1.936,1.19,1.741,2.09,3.437,3.21,1.26,1.88,4.47,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
0,0.599304,-0.448177,103.413078,-0.610173,0.022835,103.671036,-21.036674,-1.814068,148.261169,21.173807,-0.071968,148.229828,-18.097858,-0.698868,92.259171,17.658621,0.393562,90.917015,-14.048706,14.355091,54.404026,14.372601,15.380581,53.75856,-10.276086,24.758015,9.856652,10.400383,24.689159,9.756773,-13.341559,36.651569,6.90801,13.328906,36.712078,6.205984
0.5,0.555006,-0.445816,103.3256,-0.561868,0.003929,103.608711,-21.121239,-1.781944,148.14975,21.251877,-0.061722,148.135529,-18.12212,-0.59037,92.176239,17.702318,0.458664,90.852364,-14.048823,14.381935,54.304325,14.387346,15.341019,53.660496,-10.218628,24.433331,9.737144,10.362906,24.388279,9.655334,-13.298926,36.271938,6.626921,13.295004,36.358448,5.972468
1,0.510068,-0.442818,103.239273,-0.511579,-0.013451,103.549316,-21.20653,-1.749702,148.038773,21.333136,-0.052689,148.042053,-18.146126,-0.480659,92.096397,17.74662,0.528545,90.793648,-14.051366,14.409073,54.207073,14.404528,15.295204,53.565468,-10.165454,24.09631,9.619823,10.331084,24.060192,9.557944,-13.260822,35.877827,6.342589,13.268881,35.97578,5.737377
1.5,0.463122,-0.437588,103.157234,-0.459755,-0.029373,103.492859,-21.293655,-1.716587,147.929672,21.415966,-0.044727,147.950348,-18.170876,-0.368721,92.025833,17.791231,0.602226,90.7407,-14.062466,14.435909,54.11763,14.423622,15.245857,53.474304,-10.124302,23.727947,9.510456,10.304275,23.700245,9.463917,-13.236504,35.446957,6.055504,13.248878,35.557491,5.496215
2,0.413695,-0.428833,103.082054,-0.406372,-0.043571,103.439598,-21.381744,-1.68166,147.82402,21.499815,-0.038197,147.861511,-18.197134,-0.255798,91.969658,17.835661,0.681156,90.694191,-14.085833,14.460289,54.039162,14.444378,15.193001,53.387409,-10.09807,23.328182,9.413971,10.283488,23.304852,9.373832,-13.227424,34.980679,5.774142,13.234841,35.09914,5.247767
2.5,0.363269,-0.418743,103.009682,-0.351324,-0.055084,103.392044,-21.470045,-1.646305,147.719833,21.586649,-0.032833,147.775574,-18.223993,-0.14278,91.919342,17.878183,0.762287,90.658287,-14.114261,14.483818,53.965229,14.469865,15.135452,53.308296,-10.078109,22.918102,9.322742,10.269608,22.891499,9.292614,-13.223932,34.503109,5.496666,13.226919,34.624271,5.010805
3,0.310354,-0.405849,102.944473,-0.295107,-0.064392,103.349564,-21.560013,-1.610218,147.619858,21.674707,-0.028126,147.69281,-18.25325,-0.03154,91.881409,17.920027,0.843403,90.631287,-14.154502,14.505985,53.90266,14.499454,15.07526,53.236649,-10.070196,22.491711,9.24251,10.260606,22.462383,9.218398,-13.231578,34.008991,5.233881,13.223601,34.134472,4.783843
3.5,0.25436,-0.388412,102.890427,-0.237549,-0.070858,103.313995,-21.650703,-1.57201,147.526932,21.763525,-0.025143,147.615631,-18.286005,0.075935,91.862,17.958986,0.926304,90.615822,-14.209206,14.525471,53.85598,14.534593,15.012089,53.17448,-10.077237,22.046978,9.178501,10.259136,22.009121,9.153133,-13.251674,33.497433,4.996234,13.227499,33.620335,4.567303
4,0.196741,-0.368622,102.842194,-0.179112,-0.074436,103.285553,-21.741283,-1.533169,147.438095,21.853611,-0.022923,147.543686,-18.321045,0.181168,91.852348,17.994762,1.007313,90.612564,-14.271702,14.543629,53.817532,14.575192,14.947124,53.122417,-10.092429,21.594265,9.123313,10.262815,21.546535,9.097785,-13.277953,32.978848,4.773616,13.234094,33.099865,4.3696
4.5,0.137367,-0.346546,102.800926,-0.120244,-0.07571,103.263489,-21.832932,-1.49395,147.354309,21.944296,-0.020947,147.476715,-18.358612,0.283123,91.852951,18.029055,1.085197,90.619469,-14.342754,14.558414,53.788315,14.619677,14.879894,53.079136,-10.11409,21.134609,9.076286,10.269759,21.076672,9.050044,-13.309419,32.456074,4.570245,13.242478,32.575253,4.189157
5,0.074975,-0.319374,102.774185,-0.060391,-0.073364,103.251564,-21.924463,-1.452114,147.28157,22.035784,-0.020275,147.418442,-18.40086,0.37722,91.873878,18.059397,1.160328,90.641838,-14.426969,14.567081,53.777206,14.671938,14.809803,53.049057,-10.147388,20.661716,9.045357,10.283336,20.592907,9.013989,-13.348888,31.924717,4.404159,13.256782,32.040066,4.033949
5.5,0.01057,-0.288773,102.757057,-0.000424,-0.068333,103.247795,-22.015972,-1.409492,147.217316,22.12702,-0.020241,147.367706,-18.447111,0.466339,91.908081,18.086716,1.230064,90.676559,-14.519384,14.571915,53.777592,14.729354,14.738171,53.029526,-10.188148,20.181149,9.024961,10.2998,20.102589,8.986894,-13.393117,31.389149,4.264515,13.272407,31.501942,3.900978
6,-0.05449,-0.256748,102.744934,0.059234,-0.061333,103.250755,-22.107565,-1.366508,147.157532,22.217827,-0.019691,147.324005,-18.494869,0.552681,91.948387,18.112312,1.29443,90.720711,-14.615295,14.572075,53.782864,14.789644,14.662891,53.017712,-10.230631,19.696888,9.008666,10.31757,19.608257,8.96582,-13.438452,30.852428,4.138958,13.287263,30.962894,3.78506
6.5,-0.121097,-0.22073,102.746155,0.119203,-0.051407,103.263611,-22.197983,-1.321152,147.110077,22.308891,-0.019539,147.290146,-18.546583,0.630302,92.00441,18.135647,1.3522,90.778465,-14.717113,14.559147,53.800892,14.855494,14.583431,53.017277,-10.276968,19.201828,9.002972,10.338112,19.106716,8.95415,-13.485125,30.311192,4.048051,13.303988,30.420834,3.695807
7,-0.188964,-0.181,102.759605,0.178688,-0.039116,103.28553,-22.287958,-1.274555,147.075684,22.399117,-0.01997,147.266052,-18.602053,0.700657,92.073807,18.157225,1.402225,90.848007,-14.822542,14.534298,53.829464,14.925587,14.499142,53.02626,-10.326097,18.696453,9.005775,10.359509,18.598846,8.94973,-13.532499,29.765079,3.988025,13.321993,29.876316,3.63025
7.5,-0.256892,-0.140289,102.776764,0.237281,-0.025574,103.313667,-22.377407,-1.227459,147.045486,22.487682,-0.018803,147.250488,-18.658461,0.768719,92.146767,18.178381,1.444653,90.924477,-14.928366,14.503746,53.860302,14.99711,14.407368,53.040287,-10.374865,18.187725,9.010517,10.380207,18.086666,8.948697,-13.579497,29.217281,3.937614,13.337859,29.329563,3.577891
8,-0.324243,-0.09737,102.803986,0.295316,-0.010777,103.348824,-22.464672,-1.178387,147.026901,22.575115,-0.017395,147.243927,-18.716511,0.829453,92.228889,18.200008,1.47961,91.008484,-15.0316,14.452538,53.895596,15.069768,14.307983,53.059914,-10.420809,17.668606,9.019768,10.40005,17.569725,8.952151,-13.622622,28.664852,3.91065,13.352494,28.781055,3.542649
8.5,-0.390913,-0.052505,102.840744,0.352613,0.005733,103.393105,-22.550238,-1.128059,147.020966,22.661795,-0.015724,147.24884,-18.775871,0.883179,92.317879,18.222601,1.504929,91.102203,-15.130021,14.37912,53.933647,15.14453,14.196705,53.085785,-10.463191,17.138203,9.031918,10.418653,17.045567,8.960435,-13.6618,28.106251,3.903879,13.367119,28.228916,3.528738
9,-0.457162,-0.006721,102.881477,0.40866,0.022251,103.441071,-22.63513,-1.076992,147.020523,22.745827,-0.012234,147.260666,-18.835512,0.9342,92.409668,18.247541,1.522804,91.1978,-15.226478,14.296303,53.972652,15.218486,14.074413,53.112309,-10.503523,16.602867,9.044938,10.435164,16.516537,8.968806,-13.699341,27.544506,3.905594,13.380304,27.672794,3.520689
9.5,-0.521017,0.039257,102.928062,0.463525,0.038403,103.493591,-22.716787,-1.024467,147.028778,22.827442,-0.008072,147.280655,-18.893826,0.979694,92.504372,18.274839,1.533318,91.295403,-15.314024,14.188919,54.008961,15.290423,13.938633,53.139027,-10.537936,16.058258,9.05799,10.449121,15.982452,8.977909,-13.730968,26.977215,3.916667,13.391237,27.113308,3.519952
10,-0.582227,0.084869,102.980423,0.51734,0.054775,103.55249,-22.795275,-0.971092,147.047348,22.907738,-0.002716,147.310608,-18.951056,1.018642,92.599556,18.306265,1.534256,91.397194,-15.390354,14.04945,54.040184,15.360841,13.784386,53.166676,-10.5654,15.502914,9.070181,10.460265,15.440792,8.988429,-13.756341,26.403408,3.935699,13.400435,26.548923,3.531034
10.5,-0.641872,0.130447,103.036133,0.569811,0.070038,103.613327,-22.872553,-0.91711,147.07164,22.984848,0.004135,147.345947,-19.006264,1.054298,92.695396,18.342411,1.528782,91.497208,-15.460755,13.893444,54.069004,15.428588,13.614132,53.19149,-10.588293,14.941257,9.081399,10.468943,14.893452,8.997223,-13.777822,25.82552,3.958588,13.409052,25.979649,3.543003
11,-0.698833,0.174831,103.093979,0.621079,0.083763,103.676132,-22.946281,-0.862602,147.100479,23.059216,0.011745,147.386703,-19.058916,1.08585,92.790413,18.381836,1.517532,91.595055,-15.522192,13.717419,54.092949,15.493274,13.427505,53.213234,-10.606776,14.373798,9.091209,10.475546,14.341499,9.004731,-13.795168,25.243229,3.980857,13.416622,25.406498,3.554768
11.5,-0.751743,0.216602,103.15419,0.670799,0.096085,103.742027,-23.015947,-0.808086,147.135956,23.131065,0.020603,147.43454,-19.108316,1.110561,92.881966,18.42725,1.498257,91.691528,-15.569762,13.504642,54.107445,15.553264,13.218391,53.231503,-10.618405,13.798103,9.098712,10.479014,13.782364,9.011149,-13.806311,24.655788,4.001092,13.421828,24.828243,3.568519
