[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
0,-0.647086762,-0.284061,103.652,-0.647086762,-0.284061,103.652,-22.35703376,1.025939,148.778,20.85026624,-0.650361,148.207,-19.25123376,-3.402161,92.9286,17.86766624,0.149939,90.8708,-15.72273376,-12.618261,54.037,14.67686624,15.314539,53.6913,-10.84434376,-30.324361,11.6032,10.54246624,25.165239,9.77062,-13.78603376,-21.061361,4.26588,13.54906624,37.266639,6.38578
0.5,-0.596533762,-0.300561,103.59,-0.596533762,-0.300561,103.59,-22.26953376,0.988439,148.723,20.94216624,-0.637461,148.111,-19.23353376,-3.331061,92.8821,17.91666624,0.233939,90.8076,-15.67923376,-12.578561,53.9897,14.67706624,15.262739,53.5849,-10.84937376,-30.784861,11.7838,10.49216624,24.800339,9.65424,-13.81573376,-21.622261,4.29364,13.51426624,36.834139,6.11101
1,-0.545119762,-0.316061,103.529,-0.545119762,-0.316061,103.529,-22.18203376,0.950239,148.669,21.03666624,-0.624461,148.015,-19.21433376,-3.257961,92.8374,17.96406624,0.321539,90.7476,-15.63483376,-12.526161,53.9414,14.67846624,15.206939,53.4804,-10.85595376,-31.239061,11.9707,10.44626624,24.419039,9.53969,-13.84663376,-22.180361,4.32129,13.48486624,36.382639,5.83127
1.5,-0.492995762,-0.330261,103.469,-0.492995762,-0.330261,103.469,-22.09393376,0.912039,148.615,21.13226624,-0.610861,147.921,-19.19533376,-3.183261,92.795,18.01166624,0.411839,90.6902,-15.58813376,-12.464261,53.894,14.68146624,15.148739,53.3778,-10.86362376,-31.687461,12.1624,10.40386624,24.032439,9.4279,-13.88033376,-22.736661,4.34995,13.45826624,35.924539,5.55172
2,-0.437483762,-0.339261,103.417,-0.437483762,-0.339261,103.417,-22.00473376,0.874839,148.566,21.22956624,-0.598461,147.833,-19.16923376,-3.102461,92.7587,18.05726624,0.509539,90.6478,-15.53173376,-12.350561,53.8454,14.69266624,15.083139,53.2868,-10.87041376,-32.103461,12.3767,10.37546624,23.611939,9.33105,-13.90993376,-23.284561,4.37966,13.43816624,35.430339,5.2786
2.5,-0.380303762,-0.345361,103.371,-0.380303762,-0.345361,103.371,-21.91573376,0.837639,148.518,21.32946624,-0.586561,147.749,-19.13863376,-3.018461,92.7266,18.09886624,0.609939,90.616,-15.47153376,-12.204161,53.7962,14.70996624,15.013139,53.2046,-10.87767376,-32.498861,12.6061,10.35736624,23.172539,9.24394,-13.93733376,-23.826561,4.41162,13.42466624,34.918039,5.0134
3,-0.322673762,-0.350461,103.326,-0.322673762,-0.350461,103.326,-21.82633376,0.800439,148.472,21.42976624,-0.574361,147.666,-19.10793376,-2.933661,92.6961,18.14006624,0.711139,90.5871,-15.41033376,-12.049361,53.7473,14.72906624,14.942239,53.1249,-10.88586376,-32.888361,12.8397,10.34206624,22.731239,9.15947,-13.96573376,-24.366761,4.44557,13.41346624,34.404039,4.75186
3.5,-0.263103762,-0.350161,103.293,-0.263103762,-0.350161,103.293,-21.73583376,0.765239,148.434,21.52956624,-0.562661,147.592,-19.07103376,-2.846161,92.673,18.17716624,0.812139,90.5763,-15.34573376,-11.840261,53.6993,14.75876624,14.869639,53.0618,-10.89591376,-33.238461,13.0979,10.33896624,22.277539,9.09193,-13.99103376,-24.899661,4.49037,13.40906624,33.881539,4.5181
4,-0.202103762,-0.345461,103.27,-0.202103762,-0.345461,103.27,-21.64543376,0.731339,148.405,21.62936624,-0.552161,147.528,-19.02733376,-2.756561,92.6559,18.20836624,0.909639,90.5834,-15.27903376,-11.579261,53.6512,14.79826624,14.796739,53.0153,-10.90592376,-33.550461,13.3794,10.34696624,21.811439,9.04034,-14.01043376,-25.425961,4.54584,13.40906624,33.352739,4.31292
4.5,-0.140853762,-0.339861,103.25,-0.140853762,-0.339861,103.25,-21.55513376,0.697439,148.378,21.72966624,-0.541561,147.465,-18.98293376,-2.666261,92.6401,18.23816624,1.006339,90.5943,-15.21193376,-11.307861,53.603,14.83986624,14.723539,52.972,-10.91602376,-33.854861,13.6657,10.35766624,21.343239,8.99183,-14.02953376,-25.950261,4.60433,13.41066624,32.823239,4.11361
5,-0.078623762,-0.330061,103.241,-0.078623762,-0.330061,103.241,-21.46303376,0.664439,148.362,21.82846624,-0.531061,147.413,-18.93503376,-2.575361,92.6301,18.26516624,1.098139,90.621,-15.14703376,-10.987461,53.5534,14.89086624,14.649939,52.9437,-10.92831376,-34.118261,13.976,10.37626624,20.869939,8.95578,-14.04583376,-26.465161,4.68188,13.41856624,32.293739,3.94467
