[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
0,-2.34432088,2.1280815,100.338,-2.34432088,2.1280815,100.338,-23.74780088,4.9717815,142.256,16.98629912,-0.9025185,141.907,-19.14210088,0.2057815,90.1154,15.95139912,4.6624815,91.9641,-18.13740088,-9.9040185,50.9754,14.97349912,13.7597815,51.8895,-17.45410088,-20.7871185,11.7226,14.43589912,19.2338815,11.9642,-19.04340088,-10.7682185,4.43455,16.79309912,30.3808815,6.9157
0.5,-2.20775088,2.1660815,100.277,-2.20775088,2.1660815,100.277,-23.55730088,4.8450815,142.172,17.23019912,-0.6952185,141.832,-19.01410088,0.2231815,90.0854,16.04149912,4.8895815,91.8668,-18.05740088,-10.0350185,51.0131,15.00599912,13.9178815,51.7988,-17.45790088,-21.1625185,11.8086,14.40089912,19.1032815,11.9002,-19.05510088,-11.2100185,4.42799,16.73369912,30.1751815,6.70276
1,-2.06920088,2.2041815,100.219,-2.06920088,2.2041815,100.219,-23.36320088,4.7142815,142.088,17.47689912,-0.4854185,141.76,-18.88430088,0.2436815,90.0579,16.13359912,5.1169815,91.7741,-17.97690088,-10.1587185,51.0537,15.03449912,14.0833815,51.7131,-17.46050088,-21.5336185,11.8993,14.36969912,18.9400815,11.8386,-19.06420088,-11.6506185,4.42247,16.68259912,29.9360815,6.49401
1.5,-1.92505388,2.2418815,100.174,-1.92505388,2.2418815,100.174,-23.16190088,4.5691815,142.007,17.72849912,-0.2696185,141.705,-18.74450088,0.2750815,90.0434,16.22829912,5.3445815,91.7023,-17.89210088,-10.2541185,51.1063,15.05529912,14.2700815,51.6488,-17.45480088,-21.8922185,12.0074,14.35299912,18.6707815,11.7837,-19.06790088,-12.0889185,4.42261,16.65929912,29.5910815,6.30488
2,-1.78015588,2.2793815,100.131,-1.78015588,2.2793815,100.131,-22.95910088,4.4230815,141.927,17.98069912,-0.0540185,141.652,-18.60540088,0.3069815,90.0306,16.32499912,5.5718815,91.6326,-17.80740088,-10.3467185,51.1602,15.07559912,14.4570815,51.5864,-17.44810088,-22.2493185,12.1168,14.33769912,18.3951815,11.7298,-19.07110088,-12.5265185,4.42331,16.63789912,29.2402815,6.11861
2.5,-1.63077788,2.3154815,100.107,-1.63077788,2.3154815,100.107,-22.75080088,4.2663815,141.862,18.23119912,0.1643815,141.621,-18.45850088,0.3462815,90.0369,16.43059912,5.7935815,91.5894,-17.71870088,-10.4097185,51.228,15.09059912,14.6387815,51.5457,-17.43370088,-22.5905185,12.2446,14.33439912,18.0614815,11.6865,-19.06660088,-12.9591185,4.43123,16.63709912,28.8411815,5.97368
3,-1.47944788,2.3502815,100.095,-1.47944788,2.3502815,100.095,-22.54030088,4.1051815,141.806,18.48179912,0.3814815,141.602,-18.31010088,0.3877815,90.0545,16.53959912,6.0131815,91.5601,-17.62870088,-10.4577185,51.303,15.10649912,14.8119815,51.5148,-17.41420088,-22.9240185,12.3813,14.33719912,17.7077815,11.6476,-19.05950088,-13.3890185,4.4436,16.64359912,28.4278815,5.84789
3.5,-1.32729088,2.3836815,100.092,-1.32729088,2.3836815,100.092,-22.32960088,3.9408815,141.761,18.72849912,0.5977815,141.595,-18.16020088,0.4306815,90.0834,16.65429912,6.2283815,91.5433,-17.53720088,-10.4915185,51.384,15.12209912,14.9717815,51.4928,-17.39120088,-23.2491185,12.5255,14.34299912,17.3427815,11.6139,-19.04960088,-13.8152185,4.45973,16.65529912,28.0090815,5.74272
4,-1.17278888,2.4135815,100.117,-1.17278888,2.4135815,100.117,-22.11690088,3.7699815,141.746,18.96869912,0.8090815,141.616,-18.00630088,0.4768815,90.1404,16.77769912,6.4351815,91.5567,-17.44350088,-10.4909185,51.4804,15.14269912,15.0942815,51.4896,-17.36140088,-23.5538185,12.6905,14.35689912,16.9579815,11.5922,-19.03360088,-14.2329185,4.48704,16.67529912,27.5855815,5.68429
4.5,-1.01843778,2.4424815,100.146,-1.01843778,2.4424815,100.146,-21.90410088,3.5982815,141.737,19.20739912,1.0185815,141.642,-17.85320088,0.5222815,90.2026,16.90189912,6.6403815,91.5745,-17.34980088,-10.4845185,51.5786,15.16439912,15.2076815,51.4886,-17.32990088,-23.8546185,12.858,14.37149912,16.5724815,11.5719,-19.01680088,-14.6487185,4.51616,16.69599912,27.1635815,5.63146
5,-0.86489348,2.4660815,100.202,-0.86489348,2.4660815,100.202,-21.69510088,3.4226815,141.763,19.43479912,1.2188815,141.697,-17.70040088,0.5673815,90.296,17.03529912,6.8343815,91.6191,-17.25560088,-10.4407185,51.6892,15.19459912,15.2673815,51.5024,-17.29450088,-24.1321185,13.0448,14.38839912,16.1801815,11.5629,-18.99650088,-15.0529185,4.55753,16.71769912,26.7480815,5.61769
