[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
0,-0.535233018,-0.177564,93.8314,-0.535233018,-0.177564,93.8314,-20.16976872,5.394336,134.157,18.65483128,-3.530664,134.318,-17.27816872,-0.790664,83.7366,17.13233128,-1.046164,83.4798,-15.10016872,-12.299864,47.977,13.67003128,11.098436,46.7246,-13.95836872,-27.944964,13.3605,11.83123128,19.795936,10.0577,-15.30816872,-21.326064,4.37148,14.04773128,30.101636,6.24975
0.5,-0.446221518,-0.139364,93.7619,-0.446221518,-0.139364,93.7619,-20.05606872,5.355536,134.078,18.80033128,-3.486264,134.178,-17.19186872,-0.706864,83.7037,17.22313128,-0.897264,83.4109,-15.07656872,-12.250664,47.9332,13.71693128,11.357536,46.6983,-13.98796872,-28.313764,13.5104,11.81723128,19.630036,9.96724,-15.30856872,-21.836064,4.39174,14.00213128,29.853936,6.01573
1,-0.357098718,-0.100864,93.6924,-0.357098718,-0.100864,93.6924,-19.94216872,5.316836,133.999,18.94583128,-3.441864,134.039,-17.10566872,-0.622464,83.6708,17.31413128,-0.748364,83.3424,-15.05306872,-12.200464,47.8894,13.76413128,11.617436,46.6725,-14.01766872,-28.682264,13.6607,11.80373128,19.462436,9.877,-15.30906872,-22.345864,4.41211,13.95713128,29.604136,5.78121
1.5,-0.265600718,-0.057864,93.624,-0.265600718,-0.057864,93.624,-19.82386872,5.281036,133.918,19.09113128,-3.397164,133.897,-17.01656872,-0.527964,83.6392,17.40733128,-0.593664,83.2806,-15.03136872,-12.125064,47.841,13.81933128,11.893336,46.6572,-14.05186872,-29.039424,13.8211,11.79723128,19.243736,9.78631,-15.30996872,-22.851664,4.43509,13.92153128,29.293736,5.52358
2,-0.174822718,-0.009664,93.5658,-0.174822718,-0.009664,93.5658,-19.70476872,5.255336,133.85,19.23563128,-3.347964,133.768,-16.92366872,-0.429564,83.6119,17.49513128,-0.442464,83.2351,-15.02266872,-12.001664,47.7839,13.87813128,12.151136,46.6495,-14.08486872,-29.354974,13.9928,11.78963128,18.985736,9.71005,-15.30486872,-23.345264,4.45853,13.89953128,28.951036,5.30076
2.5,-0.083535718,0.039536,93.5089,-0.083535718,0.039536,93.5089,-19.58476872,5.230536,133.784,19.38013128,-3.298964,133.639,-16.83096872,-0.328764,83.5852,17.58393128,-0.290564,83.1926,-15.01446872,-11.873064,47.7267,13.93903128,12.409836,46.6443,-14.11896872,-29.667694,14.1669,11.78433128,18.721536,9.63643,-15.29886872,-23.837364,4.48145,13.88053128,28.601736,5.08047
3,0.009838282,0.093736,93.4579,0.009838282,0.093736,93.4579,-19.46106872,5.211036,133.721,19.52463128,-3.247864,133.514,-16.73506872,-0.221764,83.5623,17.67323128,-0.134364,83.1637,-15.01176872,-11.709264,47.6638,14.00923128,12.670336,46.6511,-14.15506872,-29.957824,14.3528,11.78763128,18.414936,9.57399,-15.28846872,-24.321164,4.50537,13.87583128,28.207236,4.86827
3.5,0.099275282,0.149936,93.4156,0.099275282,0.149936,93.4156,-19.33986872,5.198036,133.672,19.66443128,-3.192964,133.405,-16.63616872,-0.115664,83.5424,17.75043128,0.014936,83.1426,-15.02006872,-11.500664,47.5928,14.08053128,12.894736,46.6572,-14.18766872,-30.206624,14.5512,11.78223128,18.082536,9.51858,-15.27776872,-24.793864,4.54371,13.87543128,27.797436,4.68603
4,0.189510282,0.208136,93.3775,0.189510282,0.208136,93.3775,-19.21796872,5.187936,133.627,19.80483128,-3.137764,133.3,-16.53746872,-0.007064,83.5245,17.82943128,0.165236,83.1296,-15.03106872,-11.278064,47.5214,14.15493128,13.115836,46.6681,-14.22136872,-30.445214,14.7548,11.78143128,17.737936,9.47112,-15.26346872,-25.262164,4.57947,13.88113128,27.376736,4.5179
4.5,0.280185282,0.269236,93.3482,0.280185282,0.269236,93.3482,-19.09536872,5.182336,133.593,19.94473128,-3.079064,133.205,-16.43646872,0.101336,83.5114,17.90553128,0.315336,83.1306,-15.04826872,-11.016864,47.4434,14.23653128,13.317236,46.6855,-14.25416872,-30.653174,14.9715,11.78623128,17.364436,9.43766,-15.24396872,-25.719764,4.62404,13.90073128,26.931536,4.37978
5,0.366306282,0.329536,93.3243,0.366306282,0.329536,93.3243,-18.97686872,5.177536,133.567,20.07903128,-3.017964,133.124,-16.33356872,0.207036,83.4995,17.97043128,0.457036,83.1317,-15.07236872,-10.717964,47.3595,14.31703128,13.478036,46.6978,-14.28326872,-30.825524,15.2025,11.78163128,16.973936,9.4036,-15.22946872,-26.165464,4.69511,13.91693128,26.476936,4.25306
