[Gait],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氏名,周期,歩行率,立脚,%,遊脚,%,両足支持,%,ストライド,ステップ,歩隔,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(R),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Group1(L),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
CV,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
[Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle(%),重心[x](cm),重心[y](cm),重心[z](cm),重心[x](cm),重心[y](cm),重心[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm)
0,-0.152728,-0.513171,91.918,-0.152728,-0.513171,91.918,-21.748948,10.995929,131.774,16.096892,9.685729,129.646,-16.278748,-9.765671,82.0037,18.159852,-7.481171,83.5474,-11.230248,-23.454371,45.9152,17.616422,6.194429,47.6203,-13.987548,-34.007871,11.8395,18.269852,12.984429,10.6381,-7.578148,-30.529371,4.15246,21.251652,23.112129,6.35269
0.5,-0.089338,-0.464371,91.8435,-0.089338,-0.464371,91.8435,-21.641248,10.940229,131.737,16.187722,9.820829,129.484,-16.206848,-9.745671,81.9926,18.205052,-7.270771,83.4241,-11.189148,-23.570271,45.893,17.612962,6.547929,47.5752,-13.967348,-34.477571,11.8822,18.221452,12.912529,10.545,-7.573648,-31.086371,4.17934,21.149552,22.956429,6.10048
1,-0.025998,-0.415571,91.7699,-0.025998,-0.415571,91.7699,-21.533148,10.886529,131.7,16.281582,9.957029,129.32,-16.133848,-9.725171,81.9817,18.243652,-7.064371,83.3047,-11.150948,-23.673871,45.869,17.611582,6.911729,47.5377,-13.945548,-34.943671,11.9266,18.177452,12.796129,10.4531,-7.569548,-31.639571,4.20828,21.051552,22.751529,5.83858
1.5,0.036552,-0.366471,91.6979,0.036552,-0.366471,91.6979,-21.424848,10.834929,131.665,16.376922,10.093229,129.158,-16.064748,-9.703371,81.9712,18.279252,-6.857871,83.189,-11.112948,-23.769071,45.845,17.609832,7.279229,47.5039,-13.926348,-35.406171,11.9725,18.136052,12.651029,10.3603,-7.566148,-32.193471,4.23988,20.959052,22.516429,5.57229
2,0.097712,-0.316271,91.6323,0.097712,-0.316271,91.6323,-21.316748,10.792229,131.635,16.477032,10.231429,129.001,-15.998548,-9.679971,81.9611,18.300052,-6.659371,83.0877,-11.081748,-23.824271,45.8175,17.611642,7.655829,47.4858,-13.906448,-35.854971,12.0205,18.113952,12.404429,10.2761,-7.564148,-32.738871,4.2763,20.890352,22.175129,5.30825
2.5,0.159202,-0.265971,91.5676,0.159202,-0.265971,91.5676,-21.209148,10.751229,131.606,16.578962,10.370229,128.845,-15.931548,-9.656471,81.9513,18.320252,-6.463271,82.9895,-11.053448,-23.871271,45.7887,17.614552,8.034429,47.4714,-13.885348,-36.301671,12.0683,18.094152,12.140429,10.1946,-7.561848,-33.281571,4.31279,20.824552,21.816729,5.04718
3,0.219092,-0.214871,91.5078,0.219092,-0.214871,91.5078,-21.103448,10.716829,131.583,16.681002,10.507929,128.695,-15.868448,-9.631171,81.9421,18.335052,-6.270471,82.9001,-11.029148,-23.895971,45.7596,17.617872,8.405929,47.46,-13.856948,-36.742571,12.1131,18.082052,11.839429,10.1187,-7.559848,-33.820371,4.35085,20.775252,21.423329,4.79887
3.5,0.278812,-0.162271,91.4554,0.278812,-0.162271,91.4554,-21.001148,10.694529,131.568,16.783732,10.646229,128.557,-15.805048,-9.604971,81.9336,18.348352,-6.085271,82.826,-11.017248,-23.876971,45.7251,17.625572,8.759329,47.4545,-13.816948,-37.172271,12.1513,18.086452,11.479929,10.0578,-7.555948,-34.348371,4.3878,20.750952,20.977929,4.5864
4,0.338742,-0.109571,91.404,0.338742,-0.109571,91.404,-20.899448,10.673829,131.554,16.886892,10.784929,128.42,-15.741348,-9.578571,81.9252,18.362652,-5.901571,82.754,-11.007348,-23.851771,45.6896,17.633912,9.110329,47.4502,-13.775448,-37.600571,12.1887,18.092252,11.113229,9.99937,-7.551648,-34.874771,4.42436,20.728952,20.526629,4.37957
4.5,0.397022,-0.055771,91.3608,0.397022,-0.055771,91.3608,-20.802948,10.666629,131.549,16.987152,10.921029,128.3,-15.679848,-9.549971,81.9177,18.375652,-5.725271,82.696,-11.009148,-23.786271,45.651,17.645252,9.428429,47.4432,-13.711348,-38.020571,12.2155,18.108152,10.711529,9.95398,-7.544948,-35.390771,4.45866,20.730752,20.048029,4.21017
5,0.456052,-0.000471,91.3246,0.456052,-0.000471,91.3246,-20.710448,10.671929,131.553,17.083142,11.057229,128.195,-15.617348,-9.520671,81.9107,18.399652,-5.553171,82.6505,-11.023448,-23.678671,45.6042,17.661532,9.707029,47.4331,-13.629648,-38.431871,12.2336,18.132252,10.281229,9.9213,-7.535448,-35.897671,4.49258,20.748052,19.552329,4.08269
5.5,0.514962,0.054729,91.2899,0.514962,0.054729,91.2899,-20.619148,10.680129,131.559,17.178972,11.193129,128.092,-15.555048,-9.490771,81.9038,18.424252,-5.385071,82.6075,-11.040448,-23.563571,45.5562,17.678772,9.979229,47.4227,-13.544348,-38.841371,12.2496,18.158552,9.845929,9.89135,-7.524548,-36.402571,4.52542,20.768652,19.053229,3.96355
